id,lat,lon,date1,date2,yn
0-0-1,45.380724,-75.746611,2012,2014,no
0-1-2,45.380724,-75.746611,2014,2014,no
0-2-3,45.380724,-75.746611,2014,2015,no
0-3-4,45.380724,-75.746611,2015,2015,no
0-4-5,45.380724,-75.746611,2015,2015,no
0-5-6,45.380724,-75.746611,2015,2016,no
0-6-7,45.380724,-75.746611,2016,2016,no
573-0-1,45.438191,-75.669727,2012,2014,no
573-1-2,45.438191,-75.669727,2014,2015,no
573-2-3,45.438191,-75.669727,2015,2016,no
317-0-1,45.430815,-75.666260,2007,2012,no
317-1-2,45.430815,-75.666260,2012,2015,no
317-2-3,45.430815,-75.666260,2015,2016,no
442-0-1,45.434773,-75.654737,2007,2009,no
442-1-2,45.434773,-75.654737,2009,2012,no
442-2-3,45.434773,-75.654737,2012,2012,no
442-3-4,45.434773,-75.654737,2012,2014,no
442-4-5,45.434773,-75.654737,2014,2015,no
442-5-6,45.434773,-75.654737,2015,2016,no
570-0-1,45.438155,-75.677888,2007,2012,no
570-1-2,45.438155,-75.677888,2012,2014,no
570-2-3,45.438155,-75.677888,2014,2015,no
570-3-4,45.438155,-75.677888,2015,2016,no
267-0-1,45.408725,-75.732020,2009,2012,no
267-1-2,45.408725,-75.732020,2012,2014,no
267-2-3,45.408725,-75.732020,2014,2014,no
267-3-4,45.408725,-75.732020,2014,2015,no
632-0-1,45.440413,-75.669097,2007,2009,no
632-1-2,45.440413,-75.669097,2009,2016,no
439-0-1,45.434658,-75.656379,2007,2009,no
439-1-2,45.434658,-75.656379,2009,2012,no
439-2-3,45.434658,-75.656379,2012,2014,no
439-3-4,45.434658,-75.656379,2014,2015,no
509-0-1,45.436377,-75.656074,2007,2012,no
509-1-2,45.436377,-75.656074,2012,2014,no
509-2-3,45.436377,-75.656074,2014,2015,no
562-0-1,45.437977,-75.677155,2012,2014,no
562-1-2,45.437977,-75.677155,2014,2015,no
562-2-3,45.437977,-75.677155,2015,2015,no
562-3-4,45.437977,-75.677155,2015,2015,no
533-0-1,45.437065,-75.669018,2007,2009,no
533-1-2,45.437065,-75.669018,2009,2012,no
533-2-3,45.437065,-75.669018,2012,2014,no
161-0-1,45.400227,-75.720509,2014,2014,no
161-1-2,45.400227,-75.720509,2014,2016,no
601-0-1,45.439106,-75.667531,2012,2014,no
247-0-1,45.407341,-75.721135,2007,2009,no
247-1-2,45.407341,-75.721135,2009,2012,no
247-2-3,45.407341,-75.721135,2012,2014,no
247-3-4,45.407341,-75.721135,2014,2014,no
247-4-5,45.407341,-75.721135,2014,2015,no
247-5-6,45.407341,-75.721135,2015,2016,no
54-0-1,45.387553,-75.746476,2007,2009,no
54-1-2,45.387553,-75.746476,2009,2012,no
54-2-3,45.387553,-75.746476,2012,2014,yes
54-3-4,45.387553,-75.746476,2014,2014,no
54-4-5,45.387553,-75.746476,2014,2015,yes
526-0-1,45.436843,-75.658451,2007,2009,no
526-1-2,45.436843,-75.658451,2009,2012,no
526-2-3,45.436843,-75.658451,2012,2014,no
526-3-4,45.436843,-75.658451,2014,2015,no
457-0-1,45.435337,-75.667168,2009,2012,no
457-1-2,45.435337,-75.667168,2012,2012,no
457-2-3,45.435337,-75.667168,2012,2014,no
457-3-4,45.435337,-75.667168,2014,2014,no
457-4-5,45.435337,-75.667168,2014,2015,no
457-5-6,45.435337,-75.667168,2015,2015,no
457-6-7,45.435337,-75.667168,2015,2015,no
324-0-1,45.431080,-75.664043,2007,2012,no
324-1-2,45.431080,-75.664043,2012,2012,no
324-2-3,45.431080,-75.664043,2012,2014,no
324-3-4,45.431080,-75.664043,2014,2014,no
324-4-5,45.431080,-75.664043,2014,2015,no
324-5-6,45.431080,-75.664043,2015,2015,no
324-6-7,45.431080,-75.664043,2015,2015,no
324-7-8,45.431080,-75.664043,2015,2015,no
324-8-9,45.431080,-75.664043,2015,2016,no
493-0-1,45.436181,-75.680752,2007,2014,no
493-1-2,45.436181,-75.680752,2014,2014,no
493-2-3,45.436181,-75.680752,2014,2015,no
493-3-4,45.436181,-75.680752,2015,2015,no
493-4-5,45.436181,-75.680752,2015,2015,no
493-5-6,45.436181,-75.680752,2015,2016,no
110-0-1,45.391911,-75.751160,2007,2009,no
110-1-2,45.391911,-75.751160,2009,2012,no
110-2-3,45.391911,-75.751160,2012,2014,no
110-3-4,45.391911,-75.751160,2014,2015,no
110-4-5,45.391911,-75.751160,2015,2015,no
110-5-6,45.391911,-75.751160,2015,2016,no
285-0-1,45.412084,-75.735812,2012,2016,no
274-0-1,45.409211,-75.730270,2007,2009,no
274-1-2,45.409211,-75.730270,2009,2014,no
274-2-3,45.409211,-75.730270,2014,2015,no
552-0-1,45.437640,-75.657400,2007,2009,no
552-1-2,45.437640,-75.657400,2009,2012,no
552-2-3,45.437640,-75.657400,2012,2012,no
552-3-4,45.437640,-75.657400,2012,2014,no
552-4-5,45.437640,-75.657400,2014,2014,no
552-5-6,45.437640,-75.657400,2014,2015,no
552-6-7,45.437640,-75.657400,2015,2015,no
552-7-8,45.437640,-75.657400,2015,2016,no
582-0-1,45.438351,-75.677758,2007,2012,no
582-1-2,45.438351,-75.677758,2012,2012,no
582-2-3,45.438351,-75.677758,2012,2012,no
582-3-4,45.438351,-75.677758,2012,2012,no
582-4-5,45.438351,-75.677758,2012,2014,no
582-5-6,45.438351,-75.677758,2014,2014,no
582-6-7,45.438351,-75.677758,2014,2015,no
582-7-8,45.438351,-75.677758,2015,2016,yes
582-8-9,45.438351,-75.677758,2016,2016,yes
75-0-1,45.389557,-75.751151,2007,2009,no
75-1-2,45.389557,-75.751151,2009,2012,no
75-2-3,45.389557,-75.751151,2012,2014,no
75-3-4,45.389557,-75.751151,2014,2015,no
544-0-1,45.437341,-75.657756,2007,2009,no
544-1-2,45.437341,-75.657756,2009,2012,no
544-2-3,45.437341,-75.657756,2012,2014,no
544-3-4,45.437341,-75.657756,2014,2015,no
557-0-1,45.437806,-75.675097,2009,2012,no
557-1-2,45.437806,-75.675097,2012,2012,no
557-2-3,45.437806,-75.675097,2012,2014,no
557-3-4,45.437806,-75.675097,2014,2014,no
557-4-5,45.437806,-75.675097,2014,2015,no
557-5-6,45.437806,-75.675097,2015,2016,no
414-0-1,45.433725,-75.679982,2007,2009,no
414-1-2,45.433725,-75.679982,2009,2012,no
414-2-3,45.433725,-75.679982,2012,2015,no
117-0-1,45.392683,-75.740054,2012,2016,no
314-0-1,45.430779,-75.668365,2007,2009,no
314-1-2,45.430779,-75.668365,2009,2012,no
314-2-3,45.430779,-75.668365,2012,2014,no
314-3-4,45.430779,-75.668365,2014,2016,no
100-0-1,45.391343,-75.752434,2009,2012,no
100-1-2,45.391343,-75.752434,2012,2014,no
100-2-3,45.391343,-75.752434,2014,2015,no
100-3-4,45.391343,-75.752434,2015,2015,no
599-0-1,45.439070,-75.667344,2012,2016,no
535-0-1,45.437087,-75.671221,2009,2012,yes
535-1-2,45.437087,-75.671221,2012,2014,no
535-2-3,45.437087,-75.671221,2014,2014,no
535-3-4,45.437087,-75.671221,2014,2015,no
535-4-5,45.437087,-75.671221,2015,2015,no
535-5-6,45.437087,-75.671221,2015,2015,no
549-0-1,45.437557,-75.674079,2009,2012,no
549-1-2,45.437557,-75.674079,2012,2012,no
549-2-3,45.437557,-75.674079,2012,2014,no
549-3-4,45.437557,-75.674079,2014,2014,no
549-4-5,45.437557,-75.674079,2014,2015,no
549-5-6,45.437557,-75.674079,2015,2015,no
549-6-7,45.437557,-75.674079,2015,2015,no
679-0-1,45.444136,-75.672877,2007,2009,no
679-1-2,45.444136,-75.672877,2009,2012,no
679-2-3,45.444136,-75.672877,2012,2014,no
679-3-4,45.444136,-75.672877,2014,2016,no
293-0-1,45.429842,-75.656357,2012,2014,no
293-1-2,45.429842,-75.656357,2014,2015,no
188-0-1,45.402558,-75.723321,2007,2009,no
188-1-2,45.402558,-75.723321,2009,2012,no
188-2-3,45.402558,-75.723321,2012,2014,no
188-3-4,45.402558,-75.723321,2014,2015,no
188-4-5,45.402558,-75.723321,2015,2016,no
335-0-1,45.431334,-75.651810,2007,2009,no
335-1-2,45.431334,-75.651810,2009,2012,no
495-0-1,45.436202,-75.679469,2007,2009,no
495-1-2,45.436202,-75.679469,2009,2014,no
495-2-3,45.436202,-75.679469,2014,2015,no
658-0-1,45.442589,-75.675060,2007,2009,no
658-1-2,45.442589,-75.675060,2009,2012,no
658-2-3,45.442589,-75.675060,2012,2014,no
658-3-4,45.442589,-75.675060,2014,2015,no
373-0-1,45.432357,-75.678434,2007,2009,no
373-1-2,45.432357,-75.678434,2009,2012,no
373-2-3,45.432357,-75.678434,2012,2014,no
373-3-4,45.432357,-75.678434,2014,2015,no
373-4-5,45.432357,-75.678434,2015,2015,no
498-0-1,45.436233,-75.682298,2012,2014,no
498-1-2,45.436233,-75.682298,2014,2014,no
498-2-3,45.436233,-75.682298,2014,2015,no
498-3-4,45.436233,-75.682298,2015,2015,no
498-4-5,45.436233,-75.682298,2015,2015,no
498-5-6,45.436233,-75.682298,2015,2016,no
251-0-1,45.407471,-75.721766,2012,2012,no
251-1-2,45.407471,-75.721766,2012,2014,no
251-2-3,45.407471,-75.721766,2014,2014,no
251-3-4,45.407471,-75.721766,2014,2015,no
251-4-5,45.407471,-75.721766,2015,2016,no
187-0-1,45.402545,-75.718340,2009,2014,no
187-1-2,45.402545,-75.718340,2014,2014,no
187-2-3,45.402545,-75.718340,2014,2016,no
352-0-1,45.431644,-75.681883,2009,2012,no
352-1-2,45.431644,-75.681883,2012,2014,no
352-2-3,45.431644,-75.681883,2014,2015,no
352-3-4,45.431644,-75.681883,2015,2015,no
352-4-5,45.431644,-75.681883,2015,2016,no
531-0-1,45.437055,-75.669144,2012,2014,no
211-0-1,45.404270,-75.717782,2012,2014,no
211-1-2,45.404270,-75.717782,2014,2015,no
211-2-3,45.404270,-75.717782,2015,2016,no
358-0-1,45.431838,-75.653260,2007,2009,no
358-1-2,45.431838,-75.653260,2009,2012,no
358-2-3,45.431838,-75.653260,2012,2012,no
358-3-4,45.431838,-75.653260,2012,2014,no
358-4-5,45.431838,-75.653260,2014,2015,no
358-5-6,45.431838,-75.653260,2015,2015,no
358-6-7,45.431838,-75.653260,2015,2015,no
358-7-8,45.431838,-75.653260,2015,2016,no
307-0-1,45.430556,-75.684885,2007,2009,no
307-1-2,45.430556,-75.684885,2009,2012,no
307-2-3,45.430556,-75.684885,2012,2012,no
307-3-4,45.430556,-75.684885,2012,2012,no
307-4-5,45.430556,-75.684885,2012,2014,no
307-5-6,45.430556,-75.684885,2014,2015,no
307-6-7,45.430556,-75.684885,2015,2016,no
536-0-1,45.437092,-75.661734,2007,2009,no
536-1-2,45.437092,-75.661734,2009,2012,no
536-2-3,45.437092,-75.661734,2012,2014,no
536-3-4,45.437092,-75.661734,2014,2015,no
462-0-1,45.435416,-75.677915,2007,2009,no
462-1-2,45.435416,-75.677915,2009,2012,no
462-2-3,45.435416,-75.677915,2012,2014,no
462-3-4,45.435416,-75.677915,2014,2015,no
462-4-5,45.435416,-75.677915,2015,2015,no
252-0-1,45.407483,-75.722187,2007,2012,no
252-1-2,45.407483,-75.722187,2012,2014,no
252-2-3,45.407483,-75.722187,2014,2015,no
252-3-4,45.407483,-75.722187,2015,2016,no
173-0-1,45.401532,-75.729383,2007,2012,no
173-1-2,45.401532,-75.729383,2012,2014,no
173-2-3,45.401532,-75.729383,2014,2015,no
173-3-4,45.401532,-75.729383,2015,2016,no
158-0-1,45.399850,-75.721449,2012,2012,no
158-1-2,45.399850,-75.721449,2012,2012,no
158-2-3,45.399850,-75.721449,2012,2015,no
158-3-4,45.399850,-75.721449,2015,2015,no
158-4-5,45.399850,-75.721449,2015,2015,null
158-5-6,45.399850,-75.721449,2015,2016,null
310-0-1,45.430718,-75.652727,2007,2012,no
310-1-2,45.430718,-75.652727,2012,2012,no
310-2-3,45.430718,-75.652727,2012,2014,no
310-3-4,45.430718,-75.652727,2014,2015,no
