id,yn
0,1
1,1
2,1
3,1
4,1
5,1
6,0
7,0
8,0
9,1
10,1
11,1
12,0
13,1
14,0
15,0
16,0
17,0
18,0
19,1
20,0
21,1
22,0
23,0
24,0
25,0
26,1
27,0
28,0
29,1
30,0
31,0
32,1
33,0
34,1
35,1
36,0
37,1
38,0
39,0
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,0
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
61,1
62,1
63,1
64,1
65,1
66,0
67,0
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,0
77,1
78,1
79,1
80,1
81,0
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,0
99,1
100,0
101,0
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,0
115,0
116,1
117,1
118,0
119,1
120,1
121,0
122,1
123,1
124,1
125,1
126,1
127,1
128,0
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,0
141,1
142,0
143,1
144,1
145,1
146,1
147,0
148,1
149,0
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,0
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,0
175,1
176,1
177,1
178,0
179,1
180,1
181,1
182,0
183,1
184,0
185,0
186,1
187,0
188,1
189,1
190,0
191,0
192,1
193,1
194,1
195,0
196,0
197,1
198,1
199,1
200,1
201,0
202,0
203,1
204,1
205,0
206,0
207,1
208,0
209,1
210,0
212,0
213,0
214,0
215,0
216,1
217,0
218,1
219,0
221,1
222,0
223,1
224,0
225,0
226,1
227,1
228,1
229,0
230,0
231,0
232,1
233,0
234,0
235,0
236,1
237,0
238,0
239,0
240,1
241,0
242,0
243,0
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,0
252,0
253,1
254,1
255,1
256,0
257,1
259,0
260,0
261,1
262,0
263,0
264,0
265,0
266,1
267,0
268,0
269,0
270,1
271,1
272,0
273,1
274,0
275,0
276,0
277,0
278,0
279,1
280,1
281,1
282,1
283,1
284,0
285,0
286,1
287,1
288,1
289,0
290,1
291,1
292,0
293,1
294,1
295,1
297,1
298,1
299,0
301,1
302,1
303,1
305,1
306,1
307,0
308,1
309,0
310,0
311,0
312,1
313,1
314,1
315,1
316,1
317,0
318,1
319,1
320,1
321,1
322,1
323,0
324,1
325,1
326,1
327,1
328,0
329,1
330,1
331,0
332,1
333,0
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,0
357,1
358,0
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,0
368,1
369,0
370,0
371,1
372,0
373,0
374,1
375,0
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,0
386,1
387,0
388,1
389,1
390,1
392,1
393,1
394,0
395,1
396,1
397,0
398,0
399,0
400,1
401,0
402,1
403,0
404,1
405,0
406,0
407,0
408,0
409,0
410,1
411,0
412,0
414,0
415,1
416,0
417,1
418,0
419,1
420,0
421,1
422,1
423,1
424,1
425,1
426,1
427,0
429,0
430,0
431,1
432,1
433,0
434,0
435,1
436,1
437,0
438,1
439,1
440,1
441,1
442,0
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,0
466,1
467,0
468,0
469,1
470,0
471,0
472,1
473,1
474,0
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,0
483,0
484,0
485,1
486,0
487,1
488,0
489,1
490,1
491,1
492,1
493,1
494,0
495,0
496,1
497,1
498,1
499,0
500,1
501,0
502,0
503,0
504,0
505,1
506,0
507,1
508,1
509,1
510,1
511,0
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,0
523,1
524,0
525,1
526,0
527,1
528,0
529,0
530,1
531,0
533,1
534,1
535,0
536,0
537,1
538,0
539,0
540,0
541,1
542,1
543,1
544,1
545,1
546,1
547,0
548,1
549,1
550,1
551,0
552,0
553,0
554,0
555,0
556,1
557,1
558,1
559,0
560,1
561,0
562,0
564,0
566,0
567,1
568,1
569,0
570,0
571,1
572,1
573,0
574,1
575,0
576,1
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,1
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
613,0
614,0
615,1
616,0
617,0
618,0
619,0
620,0
621,0
622,1
623,1
624,1
625,1
626,1
627,1
628,0
629,0
630,1
632,1
633,1
634,1
635,0
636,1
637,1
638,1
639,0
640,1
641,0
642,1
643,1
644,0
645,1
646,1
647,1
648,1
649,1
650,1
651,1
652,1
653,1
654,1
655,1
656,1
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,1
667,1
668,1
669,1
670,0
671,1
672,0
673,1
674,1
675,0
676,1
677,1
678,1
679,1
680,1
681,0
682,1
683,0
684,1
685,0
686,1
687,1
688,0
689,1
690,1
691,1
692,0
693,1
694,1
695,0
696,1
697,1
698,1
699,0
700,1
701,1
702,1
703,0
704,1
705,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,1
715,1
716,0
717,1
718,0
719,1
720,1
721,0
722,1
723,0
724,0
725,0
726,1
727,0
728,1
729,0
730,0
731,1
732,1
733,1
734,1
735,0
736,1
737,1
738,1
739,1
740,0
741,0
742,0
743,0
744,1
745,1
746,1
747,0
748,1
749,0
750,1
751,0
752,0
753,1
754,1
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,1
772,1
773,0
774,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,1
802,0
803,0
804,1
805,1
806,0
807,1
808,0
809,0
810,0
811,1
812,0
813,0
814,0
815,0
816,1
817,1
818,1
819,1
821,1
822,0
823,0
824,1
825,0
826,0
828,1
829,1
830,0
831,0
832,0
833,0
834,0
835,0
