id,yn
0,1
83,0
267,0
203,1
197,0
106,0
8,0
108,0
300,0
278,0
241,1
261,0
142,1
268,0
100,1
81,1
148,1
152,1
100,0
284,1
144,0
334,0
30,1
98,0
280,1
114,0
215,0
219,0
277,0
296,0
84,0
23,0
12,0
70,1
111,1
183,0
110,0
307,0
40,0
224,0
13,1
95,0
156,1
122,0
52,1
24,0
182,0
226,0
83,0
92,0
213,0
9,0
154,0
289,1
277,1
235,0
61,0
314,1
135,0
56,1
222,0
309,0
46,0
279,0
267,0
131,0
323,0
109,0
99,1
161,1
201,1
19,0
152,1
39,0
101,1
270,1
275,1
204,0
64,0
43,0
105,0
178,1
306,0
21,1
211,0
286,0
223,0
159,0
177,0
62,0
277,0
16,0
77,0
293,1
312,0
205,0
30,0
265,0
230,0
320,0
157,0
4,0
285,0
45,0
231,0
115,0
249,0
191,0
262,0
11,0
25,0
272,0
91,0
192,0
195,0
69,0
301,0
132,1
311,0
250,0
110,0
232,0
102,0
239,1
3,0
27,0
94,0
179,0
276,0
136,1
142,1
174,0
169,0
84,0
292,1
321,0
157,0
63,0
73,0
242,0
90,0
175,0
225,0
17,0
112,1
117,0
163,1
44,1
71,1
138,0
48,0
304,0
75,1
254,0
32,0
247,0
128,0
178,0
172,0
80,1
329,0
248,0
18,1
335,1
139,0
325,0
162,0
103,1
316,0
50,0
242,0
292,0
133,0
106,0
93,0
251,0
321,0
112,0
56,0
283,0
305,1
227,0
209,0
281,0
122,0
281,1
45,0
294,0
16,0
212,0
246,0
104,0
37,0
302,1
231,0
145,0
141,0
107,0
113,0
116,0
87,0
153,0
66,0
165,0
35,0
88,0
206,0
219,0
308,0
58,0
118,1
173,0
240,0
180,0
106,1
166,0
118,0
182,0
291,0
119,0
159,0
223,0
282,0
137,1
193,0
277,0
303,0
176,0
287,0
124,0
60,0
140,0
55,0
214,0
120,0
194,1
143,0
121,1
220,0
264,1
123,0
318,0
282,0
207,0
53,0
125,0
330,0
60,1
295,0
126,0
57,1
317,0
127,1
185,0
43,0
129,0
19,0
146,0
249,0
243,0
73,0
217,0
228,0
138,0
130,0
134,0
196,0
147,0
149,1
45,0
297,0
96,0
150,0
199,0
45,0
151,0
155,1
288,0
260,0
298,0
8,0
210,0
324,0
236,0
118,0
158,0
170,0
30,0
160,0
290,1
164,1
245,0
181,1
167,1
294,1
331,1
17,1
168,1
310,0
237,0
181,0
208,0
171,0
184,0
186,0
192,0
187,0
171,0
216,0
322,0
188,0
102,0
229,0
299,0
189,0
180,0
218,0
190,0
198,0
200,0
263,0
202,0
221,1
233,0
114,0
234,0
244,0
238,0
252,0
253,0
255,0
160,0
256,0
86,0
259,1
257,0
275,0
313,0
315,0
319,0
326,0
294,0
258,0
266,0
269,1
327,0
240,0
271,0
273,0
159,0
274,0
328,0
332,1
167,0
333,0
336,0
265,0
337,0
208,0
338,0
261,0
339,0
252,0
340,0
88,0
341,0
342,0
344,0
343,0
345,0
346,0
347,0
348,0
349,0
350,0
351,1
352,1
353,1
354,1
355,0
356,0
357,1
358,0
359,1
360,0
361,0
362,1
363,0
364,1
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
