id1,id2,pano1,pano2,winner
0,1,-EMKnDl4Dg4bGCnTHds8ag,-EQK2dakX_sFqO2YfgemVQ,left
1175,1254,_W2lMxs12yJcuY0MCHIxjQ,kq83z9R06ZIRMnQBbw80NA,right
1246,348,j5pHAgES0SXaL2rngSuY-w,38UroZkNHWLcd9L1YvPZ8Q,left
390,1295,CapgU3qjBMlTec8fs6QgkQ,rwzlfoFvr98pkmztHE-k4Q,left
680,486,22c7e6_ihyPmsv_5R-4epw,XVa61ZKkEKErpf7H_V952Q,left
1239,110,iV0Rmsw8BKZTqeDzreP_Wg,dNVuUqOjbF5Avi_qycvyMA,left
504,1264,Zyza9jynG1iaW7_DahLrCg,mZ0QkFzYTlvarUAD5n8T4Q,right
506,625,_HLJmZHglCAKC_HtohzgMQ,tfFKtvEql7_XhGd5_H7JOw,none
192,585,DNQqeNeHlr5AHcn1gHLjhw,lCWbZgoxpDdoH8veIxcjoQ,left
586,1206,lKzlBK1Wy4xDi0zx0HS1zQ,eRr8L07yRAz5jDZ0JbtGgA,right
1487,1356,yyutc1Euvl_kohkPxQIXMg,7rxfVSwCzMgZeySqXmtuyQ,none
472,565,UGFS7G_fN8nAmhERPXR6_A,hB2fq03dD21Bs4tenG9utA,left
1258,704,loNqaxYdkNWz87u9NpxKhg,8NY8o8mqfuh1m5HPZy5vPw,none
1241,1152,igRO2O_lWeFGiFBUlNi8DA,WEM5ea9UXR4Mrr5gtZb5iQ,none
380,1266,A2iv1E-USslzO3XukvTGZg,ml3ZmEwuzeBX4UgO-RTfLw,none
795,834,Tn32KDrTtJct_GBDTRmnSw,ZgdFVUrZUn_8vEeXF7gOuA,left
731,434,FVv9i_AyknTadcKwKj2ryw,MZ07VSGjSQEuoVSN4dtRGg,left
288,287,kHNywQHWcRKv7q88euiPOw,k9x0vuUcEO0V9_hRps_hRA,right
1115,785,PWNO5siDOtzCzc3qRl1M9g,Rz0FIxKrQIqFO9dBtzzP4w,none
1382,271,IgHS9NsH-drMo4oub-wB5w,eDYfF1jVD2ts_lFADs38_g,none
282,712,hG8bI55F2Slgx1INCkKnyA,AwVvf-ot0J06Qsu6hLil5g,none
640,558,vTdwponpPZGlbow6cryLpA,fyGMO0vOhbKn-EpJMqo8rw,none
212,308,LC24WMACLHY6htv3Xg5M3A,rDkSLQiVJv_XvPrh4wuoDw,left
1332,744,z5_asthWjUHMwUQrpPX2jQ,HqroRQtwFHwufF1AKAh0JQ,none
713,1280,BTi_t9Y4J-22JcdUNyE-ww,oy1cFR_Qwagg4LsGo-P2ww,left
326,1242,yK3wqHKnvJkfRmWNV2gkyg,iiYMJy7asvSUD3xto4Ov6w,left
271,115,eDYfF1jVD2ts_lFADs38_g,g0bMY6dMrdP-UphtAwuMNw,right
1004,987,4Mjjff7_Ao226kbAYmqVrA,1itYE4KgFvB3lAlbhMyruw,left
523,565,bpG7zi1rwFdBG2vTpMOVyw,hB2fq03dD21Bs4tenG9utA,right
815,1039,WY1jh_HJ-vXss92FsAx3NQ,9bD0yZSbCrqZFyON6ovohg,right
1388,130,JaKYPbSjIreL43M8CFleBA,nJ-zkTKwxDSJ9sqDu4gyTA,left
565,768,hB2fq03dD21Bs4tenG9utA,Ok3Gj2-LZOq6z4ZkPGKgSg,right
228,1455,Qkb2pwpaAG0iWKlluFluQA,lSY7FAQuQHx-7uonZIZ-qQ,none
864,471,fhkxUp8EkiGo7iipwlOUsw,UGA3Yq9CJji5Tat60CCkCA,left
953,1469,vN-NY9jlM0r-3SNHsLFcmw,rXGXkO-qslL2aFoVwWS6aw,left
846,876,bbbF35BSD5HGbQ53sTAUPQ,i4Jp7avM7c_Fa3ISaSxtxA,none
943,914,tkBWe2xYds1rDCowSqMTrA,oFuf8sMr6fsaf993WzfPrQ,none
523,944,bpG7zi1rwFdBG2vTpMOVyw,tnjgrS7R3KbgghJ_vTaAIg,right
1359,1481,9FBWn-LwoO3fj1XJyLsPXQ,xKvjGMD8gHXKbvjv4tGhWA,none
86,854,T7G9IC9XV9L_1iI7f8JOSg,cHKmfixjJDRwz-G04mcs-g,left
347,1197,2j3lJX4rRv8NrBmPKcijRw,ck14Zobnbxjbee2yk1GEng,left
485,429,XUFgwxue3H1EoQPNQkz4-A,LCiIeIarwttHvHwGfhm9iw,left
1339,1465,1W0Mgk7ltb-vUS_chKfDHw,pUqbxTbxroyIclYBl2NggQ,right
1117,1154,Pc-GK1364qqqkv0e-JZiHA,WUZLb51U9sJB-iT26l5GPg,right
750,503,JYtLXkL1FdxcM4TYy5UsyA,Zu_PVA2wXL_9CJ2zNf2C-A,right
670,551,0m1Z_2R45CnLX6ElRzBsJQ,f-KiM3eomdfSvdLG5YCr9A,right
85,234,T6-bQ5vbpmYhwB69Z-AWcQ,SXZQl1wGUU9UkbAQ5ZmvpQ,left
601,526,oXVHTTfN3GAIy0sU35Yh2A,c4sWKBV95Clzy1sYU2ErMA,left
1081,1103,IENSD-qcms2q155g0vQyPg,NfBULFdsMH2KDmANF6lNNA,right
670,1034,0m1Z_2R45CnLX6ElRzBsJQ,9JmsvRoJRlR5fQtU26K-Yw,none
1222,464,gZMT7TinRPVNfcWP_55FAA,S_hVQCKULYhjAf7NfdVD4A,right
1147,527,V5Ua-CyCqZ_Pgk0RN2Z4WQ,c6mk9mEfq0zv_LsDEiBuOw,right
1314,866,w1-aSvmQsF2uTtcfmDMYFA,fvKFF8NqsbZ4c1pQDEY4-w,right
485,1196,XUFgwxue3H1EoQPNQkz4-A,cStrn9OzASYx2fYMFLOETA,left
537,903,dfSLGUM9PHVf4xP75KiWgw,mDBFblgjIfhdjsm3huZOVg,right
503,644,Zu_PVA2wXL_9CJ2zNf2C-A,wZft2q1jMcGBYR6tGPn-zw,right
870,1442,gfGDPf8Q_jfXiLNEufnQ8Q,edgKSyZR81CF4letBohQdg,none
99,623,ZXUFUXxQYiENae0v3yXijQ,tIfIpRK08QnzsQ4RHUUPzA,right
1134,1283,TtuPhWXLK82iD3SMEdUwTQ,pMD4IgkjPfp_YBl2l-e2Bw,left
670,1370,0m1Z_2R45CnLX6ElRzBsJQ,C9UJKUZC6NBZQdyyoDfEbA,none
689,956,4WyHt_PQGM7Q2AG6FP_ccA,wJ1xw4jONSXBfzeZVFxJHA,none
346,387,2j171Gf5UzyqvucoxMu0EQ,Bca98tX9EWODC56xuQhcfQ,right
872,562,guulS1ZywXmE43QtR8zC6Q,gwBwkEvzTVudWQ9DOVg-6Q,right
963,1215,xBpT7jcyi8hNk7kK9nlL7w,g8cwkOkUug8WshR4BR1Hjw,none
546,605,eOOufjR-7v6-xc05BFSnWg,or6EYLQijI6CvcQfzpQD6Q,right
